Match,Team_Name,Match_Result,Player_Name,Hero_Name,Lane,Kill,Death,Assist,Net Worth,Last_Hit,GPM,XPM,DMG,Item1,Time1,Item2,Time2,Item3,Time3,Item4,Time4,Item5,Time5,Item6,Time6
36,Evil Geniuses,1,EG.Arteezy,Sven,Mid Lane,6,0,9,17.5,329,709,757,14.3,Power Treads,8.0,Hand of Midas,12.0,Echo Sabre,15.0,Blink Dagger,18.0,Black King Bar,23.0,Hyperstone,24.0
36,Evil Geniuses,1,EG.Suma1L,Storm Spirit,Off Lane,9,0,12,15.6,309,612,743,22.1,Power Treads,3.0,Magic Wand,6.0,Kaya,11.0,Orchid Malevolence,16.0,Bloodstone,23.0,Aegis of the Immortal,27.0
36,Evil Geniuses,1,EG.Fly,Lion,Mid Lane,4,5,9,4.4,34,278,390,6.8,Observer and Sentry Wards,7.0,Magic Wand,15.0,Tranquil Boots,16.0,Aether Lens,26.0,,,,
36,Evil Geniuses,1,EG.s4,Doom,Safe Lane,7,1,14,12.4,147,487,546,13.7,Quelling Blade,0.0,Magic Stick,3.0,Phase Boots,6.0,Drum of Endurance,10.0,Blink Dagger,15.0,Black King Bar,26.0
36,Evil Geniuses,1,EG.Cr1t-,Nyx Assassin,Off Lane,5,3,21,7.1,28,314,415,8.3,Boots of Speed,1.0,Dust of Appearance,3.0,Magic Wand,12.0,Spirit Vessel,18.0,Force Staff,26.0,,
37,Evil Geniuses,1,EG.Arteezy,Naga Siren,Safe Lane,7,1,5,18.1,307,690,596,13.4,Wraith Band,1.0,Wraith Band,4.0,Power Treads,8.0,Manta Style,16.0,Diffusal Blade,19.0,Butterfly,25.0
37,Evil Geniuses,1,EG.Suma1L,Outworld Devourer,Mid Lane,8,4,7,12.4,183,527,588,15.6,Magic Wand,5.0,Bracer,10.0,Hand of Midas,15.0,Blink Dagger,18.0,Boots of Travel,20.0,Kaya,25.0
37,Evil Geniuses,1,EG.Fly,Oracle,Safe Lane,4,3,20,4.6,21,257,386,7.2,Boots of Speed,5.0,Observer and Sentry Wards,9.0,Magic Wand,10.0,Aether Lens,20.0,Cloak,25.0,,
37,Evil Geniuses,1,EG.s4,Puck,Off Lane,6,3,16,10.6,121,421,423,17.9,Veil of Discord,7.0,Blink Dagger,12.0,Magic Wand,14.0,Guardian Greaves,25.0,,,,
37,Evil Geniuses,1,EG.Cr1t-,Earthshaker,Off Lane,4,2,18,7.1,49,297,457,13.8,Magic Stick,0.0,Arcane Boots,7.0,Blink Dagger,16.0,Point Booster,24.0,Ogre Axe,25.0,,
38,Evil Geniuses,1,EG.Arteezy,Drow Ranger,Mid Lane,8,1,13,14.6,164,679,670,13.1,Wraith Band,1.0,Wraith Band,3.0,Wraith Band,4.0,Power Treads,8.0,Hurricane Pike,16.0,Ethereal Blade,20.0
38,Evil Geniuses,1,EG.Suma1L,Morphling,Safe Lane,8,1,4,13.4,141,622,508,11.6,Wraith Band,3.0,Magic Wand,6.0,Power Treads,9.0,Manta Style,17.0,Ultimate Orb,20.0,Bottle,20.0
38,Evil Geniuses,1,EG.Fly,Disruptor,Mid Lane,3,5,13,4.9,13,330,312,4.7,Observer and Sentry Wards,1.0,Magic Wand,10.0,Dust of Appearance,13.0,Tranquil Boots,13.0,Cloak,17.0,,
38,Evil Geniuses,1,EG.s4,Nature's Prophet,Off Lane,5,1,15,12.8,158,638,500,14.9,Power Treads,4.0,Magic Wand,6.0,Vladmir's Offering,9.0,Maelstrom,18.0,Solar Crest,20.0,,
38,Evil Geniuses,1,EG.Cr1t-,Clockwerk,Safe Lane,2,4,16,6.4,26,316,405,8.8,Tranquil Boots,8.0,Magic Stick,11.0,Dust of Appearance,15.0,Spirit Vessel,19.0,,,,
39,Evil Geniuses,1,EG.Arteezy,Sven,Off Lane,2,1,11,9.5,174,635,596,5.1,Quelling Blade,0.0,Power Treads,4.0,Hand of Midas,9.0,Echo Sabre,13.0,,,,
39,Evil Geniuses,1,EG.Suma1L,Templar Assassin,Mid Lane,9,1,5,9.3,120,660,617,15.9,Iron Branch,0.0,Wraith Band,2.0,Power Treads,7.0,Desolator,12.0,Dragon Lance,13.0,,
39,Evil Geniuses,1,EG.Fly,Oracle,Jungle,8,3,8,3.6,5,304,241,8.2,Smoke of Deceit,3.0,Observer and Sentry Wards,5.0,Arcane Boots,8.0,Magic Wand,10.0,,,,
39,Evil Geniuses,1,EG.s4,Puck,Safe Lane,6,2,5,6.3,62,462,505,9.9,Bottle,2.0,Arcane Boots,7.0,Blink Dagger,11.0,Magic Wand,13.0,Ring of Regen,13.0,,
39,Evil Geniuses,1,EG.Cr1t-,Sand King,Jungle,4,1,14,4.6,23,305,334,6.0,Smoke of Deceit,1.0,Tranquil Boots,4.0,Blink Dagger,12.0,Magic Stick,12.0,,,,
40,Evil Geniuses,1,EG.Arteezy,Naga Siren,Off Lane,2,1,2,5.7,105,576,519,2.9,Quelling Blade,0.0,Wraith Band,3.0,Wraith Band,4.0,Wraith Band,4.0,Power Treads,7.0,Yasha,9.0
40,Evil Geniuses,1,EG.Suma1L,Monkey King,Mid Lane,7,0,4,5.9,56,559,469,10.3,Quelling Blade,1.0,Wraith Band,2.0,Magic Stick,3.0,Phase Boots,5.0,,,,
40,Evil Geniuses,1,EG.Fly,Doom,Jungle,1,2,7,2.7,18,276,201,4.6,Observer Ward,0.0,Smoke of Deceit,4.0,Phase Boots,7.0,Magic Wand,10.0,,,,
40,Evil Geniuses,1,EG.s4,Tidehunter,Safe Lane,4,0,3,4.3,53,456,422,8.6,Quelling Blade,0.0,Boots of Speed,2.0,Magic Wand,8.0,Vladmir's Offering,8.0,,,,
40,Evil Geniuses,1,EG.Cr1t-,Shadow Shaman,Off Lane,3,3,8,2.6,6,253,178,6.9,Magic Stick,0.0,Wind Lace,2.0,Arcane Boots,7.0,,,,,,
41,Evil Geniuses,1,EG.Arteezy,Sven,Safe Lane,4,2,9,14.7,244,699,712,12.8,Quelling Blade,1.0,Power Treads,5.0,Hand of Midas,9.0,Echo Sabre,13.0,Blink Dagger,16.0,Black King Bar,21.0
41,Evil Geniuses,1,EG.Suma1L,Templar Assassin,Mid Lane,13,1,3,14.6,194,729,592,27.5,Wraith Band,0.0,Wraith Band,3.0,Power Treads,6.0,Desolator,16.0,Hurricane Pike,19.0,,
41,Evil Geniuses,1,EG.Fly,Bane,Safe Lane,4,3,13,4.9,16,341,322,7.8,Magic Wand,8.0,Observer and Sentry Wards,9.0,Quelling Blade,13.0,Arcane Boots,16.0,Cloak,17.0,,
